,post_title,post_url,author_name,author_url,response_count,response_latest_time,pos_loc,pos_name,transit_minutes
1370,【个人直租】 7号线百子湾/地铁房次卧/24楼风景超好,https://www.douban.com/group/topic/261131740/,小王子的玫瑰花,https://www.douban.com/people/217167438/,0,2022-02-27 20:24:00,"116.497940,39.902261",北京市朝阳区南磨房乡惠水湾森林公园,13.0
712,【个人直租】 7号线百子湾/地铁房次卧/24楼风景超好,https://www.douban.com/group/topic/261258429/,小王子的玫瑰花,https://www.douban.com/people/217167438/,0,2022-03-01 13:05:00,"116.497940,39.902261",北京市朝阳区南磨房乡惠水湾森林公园,13.0
757,转租 地铁一号线 国贸 大望路 四惠 华腾世纪附近 惠生园小区 朝南大卧室出租 看房微信 13518371189,https://www.douban.com/group/topic/261252075/,匡 立 同 学,https://www.douban.com/people/217296911/,0,2022-03-01 11:42:00,"116.507714,39.908927",北京市朝阳区高碑店乡惠生园小区,22.0
818,个人转租 16号线 永丰南 1350元/月,https://www.douban.com/group/topic/261243250/,VV,https://www.douban.com/people/Warm-Heart/,0,2022-03-01 09:53:00,"116.475200,39.909379",北京市朝阳区建外街道金地中心B座,28.0
165,个人转租 16号线 永丰南 1350元/月,https://www.douban.com/group/topic/261346940/,VV,https://www.douban.com/people/Warm-Heart/,0,2022-03-02 14:52:00,"116.475200,39.909379",北京市朝阳区建外街道金地中心B座,28.0
2551,房东直租，一号线四惠东地铁口，通惠家园惠民园小区，步行到地铁五分钟，主卧3000，次卧2500，联系电话13436768561（同V）,https://www.douban.com/group/topic/260932275/,贝贝,https://www.douban.com/people/251931135/,0,2022-02-25 09:52:00,"116.512174,39.909109",北京市朝阳区高碑店乡惠民园,32.0
323,转租大望路地铁口,https://www.douban.com/group/topic/261179785/,啥也不是,https://www.douban.com/people/201615231/,11,2022-02-28 13:28:00,"116.476967,39.907333",北京市朝阳区建外街道SOHO现代城A座,32.0
1136,转租大望路地铁口,https://www.douban.com/group/topic/261179785/,啥也不是,https://www.douban.com/people/201615231/,11,2022-02-28 13:28:00,"116.476967,39.907333",北京市朝阳区建外街道SOHO现代城A座,32.0
1165,房东直租无中介费四惠地铁站旁边东恒时代一期次卧带衣帽间2800,https://www.douban.com/group/topic/261175924/,James cool T,https://www.douban.com/people/atc45678/,0,2022-02-28 12:35:00,"116.494423,39.910020",北京市朝阳区高碑店乡东恒时代一期,32.0
2140,【个人出租】二环光明桥出租主卧，在国贸/大望路/潘家园/劲松/建国门附近上班的小伙伴看过来~~,https://www.douban.com/group/topic/261006752/,随遇而安,https://www.douban.com/people/140434281/,0,2022-02-26 08:38:00,"116.476390,39.907088",北京市朝阳区建外街道现代城中路,33.0
2476,1号线大望路地铁口SOHO现代城朝南三居室出租主卧次卧房东直租无中介费服务费自如装修价格优惠 拎包入住,https://www.douban.com/group/topic/260943567/,shi48,https://www.douban.com/people/113591736/,4,2022-02-25 12:20:00,"116.475882,39.906544",北京市朝阳区建外街道现代城,34.0
903,[个人直租] 1号线_14号线_大望路_国贸_正规次卧出租,https://www.douban.com/group/topic/261224105/,桃小桃,https://www.douban.com/people/188002857/,9,2022-02-28 23:01:00,"116.480570,39.910341",北京市朝阳区八里庄街道北京丽思卡尔顿酒店,34.0
889,北京朝阳四惠地铁站附近房屋转租月租,https://www.douban.com/group/topic/261227007/,余忆,https://www.douban.com/people/224724082/,0,2022-02-28 23:34:00,"116.518563,39.924054",北京市朝阳区平房乡朝阳大悦城,39.0
966,【转租】十里堡北里次卧！朝阳大悦城附近！地铁6号线！去哪都方便！,https://www.douban.com/group/topic/261213382/,G_D,https://www.douban.com/people/218575453/,0,2022-02-28 20:57:00,"116.521309,39.923008",北京市朝阳区平房乡清晨时光艺术文化培训朝阳雅筑,40.0
1296,国贸转租 双井 短租也可以,https://www.douban.com/group/topic/261154766/,周学渣,https://www.douban.com/people/128656305/,5,2022-02-28 01:12:00,"116.503972,39.899318",北京市朝阳区南磨房乡格力空调(金都心语东)沿海.赛洛城7期,40.0
331,国贸转租 双井 短租也可以,https://www.douban.com/group/topic/261154766/,周学渣,https://www.douban.com/people/128656305/,5,2022-02-28 01:12:00,"116.503972,39.899318",北京市朝阳区南磨房乡格力空调(金都心语东)沿海.赛洛城7期,40.0
2359,个人转租东坝两居，近望京，朝阳大悦城,https://www.douban.com/group/topic/260964907/,王小仙,https://www.douban.com/people/wxx061101/,1,2022-02-25 17:11:00,"116.519951,39.924195",北京市朝阳区平房乡大悦公寓,40.0
1809,自如转租十里堡甘露园小区青年路四惠,https://www.douban.com/group/topic/261048891/,苏一,https://www.douban.com/people/155301017/,2,2022-02-26 19:31:00,"116.514961,39.917676",北京市朝阳区八里庄街道甘露家园(朝阳路辅路),40.0
744,纯个人 转租 传媒大学地铁站附近 2400/月 包水电燃气,https://www.douban.com/group/topic/261253797/,顶聪明,https://www.douban.com/people/190890591/,2,2022-03-01 12:05:00,"116.555191,39.907948",北京市朝阳区三间房乡朝阳区24小时自助图书馆(建国路)中国传媒大学,41.0
2230,转租｜传媒大学站 主卧独卫3800可住三人,https://www.douban.com/group/topic/260985359/,做腻了神仙,https://www.douban.com/people/222118266/,0,2022-02-25 21:38:00,"116.559250,39.908625",北京市朝阳区三间房乡珠江绿洲家园,41.0
2592,一号线 双桥 万达 地铁站房东直租 个人转租2600押一付三 次卧 电梯,https://www.douban.com/group/topic/260921147/,拼各奔,https://www.douban.com/people/191637131/,1,2022-02-25 00:31:00,"116.576823,39.910326",北京市朝阳区三间房乡双桥,43.0
2559,青年路地铁口 珠江罗马嘉园 豪华装修一居室 6200直租,https://www.douban.com/group/topic/260931142/,花好月圆,https://www.douban.com/people/207522775/,4,2022-02-25 09:34:00,"116.513717,39.923451",北京市朝阳区八里庄街道珠江罗马嘉园珠江罗马嘉园东区,43.0
71,六号线青年路两居室带大客厅，电梯房新小区，朝阳大悦城东侧，附近设施齐全，直租6800免中介费，随时看房，拎包入住，,https://www.douban.com/group/topic/261359743/,周怼怼,https://www.douban.com/people/234499746/,0,2022-03-02 17:40:00,"116.519035,39.924548",北京市朝阳区平房乡朝阳大悦城,43.0
2048,CBD地铁十号线七号线双井国贸地铁站，转租正规次卧三家合租,https://www.douban.com/group/topic/261013624/,小的伟大,https://www.douban.com/people/zj68931848/,8,2022-02-26 10:50:00,"116.461841,39.909104",北京市朝阳区建外街道国贸(地铁站),44.0
360,公寓开间，近地铁，近朝阳大悦城，十里堡地铁站，房东直租，价格美丽，放心住。没中介费,https://www.douban.com/group/topic/260933066/,羊驼是一只羊驼,https://www.douban.com/people/247428521/,4,2022-02-25 10:04:00,"116.502045,39.923076",北京市朝阳区六里屯街道十里堡(地铁站)润枫·嘉尚,45.0
1816,"6号线青年路 次卧转租—无隔断 独立卫生间 独立阳台
6号线青年路 次卧转租—无隔断 独立卫生间 独立阳台",https://www.douban.com/group/topic/261047442/,豆金金,https://www.douban.com/people/213968622/,1,2022-02-26 19:10:00,"116.517570,39.933126",北京市朝阳区平房乡幸福家常菜馆,45.0
